Отметка времени,"Попробуйте вспомнить и предположить, с какой именно инфекцией чаще всего встречались вы и ваши одногруппники                       Do you remember what sort of URI's you or your group mates usually fall victim to ?","Вы ходите на учебу, когда больны ОРВИ? Do you go to classes although you’re down with the cold ?","Если на предыдущий вопрос вы ответили ""Да"", расскажите, почему? If you answered yes to the previous question please explain why ",Случались ли у вас в группе или на потоке крупные вспышки ОРВИ? Has it happened before that a huge amount of people were infected at the same time ?,"А лично вас когда-нибудь заражали больные одногруппники, посетившие занятия? Have you been directly infected by a group mate who wasn’t present during class ? ","Как думаете, стоит создать облегченный режим отработок для студентов с инфекционными заболеваниями, выбравших остаться дома до выздоровления? What do you think, would it be reasonable to have a better regime of replacement classes for students who have fallen ill and have chosen to stay home till they feel better?","Последний вопрос: чем вы обычно лечитесь, заболев ОРВИ? How do you normally treat yourself when ill with an URI ?"
10.04.2018 17:19:13,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало). Parainfluenza","Да, в маске. Yes, with a mask",Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge,Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
10.04.2018 17:20:14,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
10.04.2018 17:22:43,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало). Parainfluenza","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Я сам(а) всех заражаю. I myself infect everyone,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
10.04.2018 17:25:58,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Да. Yes,"Нет, это будет просто очередной повод прогулять пары. No, it would just be used as another excuse for students to skip classes",Ингавирин/кагоцел/арбидол
10.04.2018 17:39:18,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Да просто не хочется ехать потом и отрабатывать. ",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Осельтамивир/тамифлю
10.04.2018 18:21:02,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Да. Yes,Нет. No,"Нет, это будет просто очередной повод прогулять пары. No, it would just be used as another excuse for students to skip classes",Симптоматическое лечение. Symptomatic
10.04.2018 18:37:11,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
10.04.2018 18:40:59,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Нет, я беру справку и остаюсь дома. No, I get an MC & stay home",,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
10.04.2018 19:33:49,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
10.04.2018 19:35:55,,"Да, без маски. Yes, without a mask",Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits,Да. Yes,Я сам(а) всех заражаю. I myself infect everyone,"Нет, это будет просто очередной повод прогулять пары. No, it would just be used as another excuse for students to skip classes",Оциллококцинум и другие гомеопатические средства. Homeopathic medicine.
10.04.2018 19:46:14,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Нет, я беру справку и остаюсь дома. No, I get an MC & stay home",,Нет. No,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
10.04.2018 20:57:41,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Нет, я беру справку и остаюсь дома. No, I get an MC & stay home",,Нет. No,Да. Yes,"Нет, это будет просто очередной повод прогулять пары. No, it would just be used as another excuse for students to skip classes",Симптоматическое лечение. Symptomatic
10.04.2018 21:27:30,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Нет, я беру справку и остаюсь дома. No, I get an MC & stay home",,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Осельтамивир/тамифлю
10.04.2018 21:31:57,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Нет. No,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
10.04.2018 21:34:03,"Гонорея, мононуклеоз, герпес","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
10.04.2018 21:37:06,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
10.04.2018 21:44:38,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
10.04.2018 21:50:02,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
10.04.2018 22:30:18,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Парацетамол 
10.04.2018 23:28:48,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Aнтибиотики. Antibiotics
10.04.2018 23:33:08,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 0:16:36,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Нет, я беру справку и остаюсь дома. No, I get an MC & stay home",,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 6:07:47,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students","Ингаверин, цитовир-3, ацикловир"
11.04.2018 10:00:08,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 10:29:50,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 10:34:54,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 10:39:17,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Нет. No,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 10:44:55,Затрудняюсь ответить,"Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Да. Yes,Нет. No,"Нет, это будет просто очередной повод прогулять пары. No, it would just be used as another excuse for students to skip classes",Симптоматическое лечение. Symptomatic
11.04.2018 10:49:57,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 10:53:56,,"Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Комплексное лечение
11.04.2018 10:54:53,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Да. Yes,Да. Yes,"Нет, это будет просто очередной повод прогулять пары. No, it would just be used as another excuse for students to skip classes",Симптоматическое лечение. Symptomatic
11.04.2018 10:55:31,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Да. Yes,Да. Yes,"Нет, это будет просто очередной повод прогулять пары. No, it would just be used as another excuse for students to skip classes",Вирусное заболевание пройдет само
11.04.2018 10:57:57,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 11:07:53,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask",Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge,Нет. No,Я сам(а) всех заражаю. I myself infect everyone,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 11:18:29,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 11:27:50,ОРВИ ,"Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 11:33:30,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 11:42:48,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 11:51:44,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало). Parainfluenza","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 11:52:53,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Осельтамивир/тамифлю
11.04.2018 11:56:33,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 12:31:32,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, без маски. Yes, without a mask",в зависимости от тяжести ОРВИ. Разумеется если мне будет лень (как я отвечал в предыдущем опросе) я не пойду. А так почему нет? Пострадать фигней с одногруппцами всегда весело,Нет. No,Я сам(а) всех заражаю. I myself infect everyone,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students","1. в принципе можно 2. Противовирусное с доказанным широким спектром 3. абсолютная дичь без клинических испытаний и каких-либо доказательных статей - будет пользоваться только идиот. 4. Тоже самое что и третье, но как правило не вызывает побочек 5. Лечить вирусную инфекцию антибиотиками, это надо быть сверхразумом, прогулявшим все пары по микре, фарме и БЛЯДЬ ШКОЛЬНУЮ ПРОГРАММУ!!!"
11.04.2018 12:47:23,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 13:00:03,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 13:07:55,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Aнтибиотики. Antibiotics
11.04.2018 13:24:32,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 17:50:20,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
11.04.2018 18:30:51,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало). Parainfluenza","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Нет. No,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 18:49:44,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, без маски. Yes, without a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
11.04.2018 20:42:36,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Нет. No,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Aнтибиотики. Antibiotics
12.04.2018 13:54:00,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Нет, я беру справку и остаюсь дома. No, I get an MC & stay home",,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
12.04.2018 16:35:36,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
12.04.2018 19:56:07,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
12.04.2018 21:13:04,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы). RSV (Respiratory Synctial Virus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
12.04.2018 21:44:55,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students","симптоматическое лечение, ибо некогда по-ормальному болеть, а на выходных уже думаешь, что делать и куда бежать"
12.04.2018 22:21:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Нет. No,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
12.04.2018 23:02:49,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Разумеется система такова, что проще сдохнуть, но придти, чем потом отрабатывать всё, включая лекции.",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",В зависимости от симптоматики. Лечение комплексное.
12.04.2018 23:12:17,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет).  Influenza (fever,lethargy,headache, and pain in muscles.","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
12.04.2018 23:13:11,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
12.04.2018 23:49:41,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students","Если состояние терпимое, отдыхом, большим количеством воды, иммуностимуляторами"
13.04.2018 9:12:56,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
13.04.2018 11:02:38,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы) Adenovirus","Да, в маске. Yes, with a mask",Тяжело будет отрабатывать. Difficult to replace the missed classes,Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Симптоматическое лечение. Symptomatic
14.04.2018 23:37:05,"Гнойный гайморит, обострение хронического тонзиллита","Да, в маске. Yes, with a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits, Не хочу упускать ценные знания. Don't wanna miss out on precious knowledge, Смерть не является уважительной причиной пропуска",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Осельтамивир/тамифлю
16.04.2018 14:45:51,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое). Rhinovirus","Да, без маски. Yes, without a mask","Тяжело будет отрабатывать. Difficult to replace the missed classes, Опасаюсь проблем с зачетом. Fearful of facing problems with getting credits",Да. Yes,Да. Yes,"Да, это обеспечит эпидемическую безопасность. Of course, it would contribute to the preventation of further infection of other students",Ингавирин/кагоцел/арбидол
